ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-03-20T00:00:00.000000000Z,35,28,1023411181,0.090000000,0.160000000,0.040000000,0.050000000,646,QQQ   250321C00497000
2025-03-20T00:00:00.000000000Z,35,29,1023411181,0.150000000,0.170000000,0.040000000,0.040000000,56,QQQ   250321C00497000
2025-03-20T00:00:00.000000000Z,35,33,1023411181,0.120000000,0.170000000,0.040000000,0.040000000,60,QQQ   250321C00497000
2025-03-20T00:00:00.000000000Z,35,24,1023410895,0.010000000,0.010000000,0.010000000,0.010000000,1,QQQ   250321C00560000
2025-03-20T00:00:00.000000000Z,35,24,1023410309,1.160000000,1.160000000,1.010000000,1.010000000,2,QQQ   250327C00493000
2025-03-20T00:00:00.000000000Z,35,22,1023410288,0.270000000,0.270000000,0.270000000,0.270000000,5,QQQ   250327C00506000
2025-03-20T00:00:00.000000000Z,35,22,1023410400,1.260000000,1.260000000,1.090000000,1.090000000,2,QQQ   250919C00600000
2025-03-20T00:00:00.000000000Z,35,35,1023410400,1.140000000,1.240000000,1.140000000,1.240000000,10,QQQ   250919C00600000
2025-03-20T00:00:00.000000000Z,35,27,1023410997,0.110000000,0.110000000,0.030000000,0.030000000,54,QQQ   250321C00499000
2025-03-20T00:00:00.000000000Z,35,29,1023410997,0.100000000,0.100000000,0.030000000,0.030000000,30,QQQ   250321C00499000
2025-03-20T00:00:00.000000000Z,35,31,1023410997,0.030000000,0.030000000,0.030000000,0.030000000,2,QQQ   250321C00499000
2025-03-20T00:00:00.000000000Z,35,34,1023410997,0.050000000,0.050000000,0.030000000,0.030000000,7,QQQ   250321C00499000
2025-03-20T00:00:00.000000000Z,35,61,1023410997,0.060000000,0.090000000,0.030000000,0.030000000,90,QQQ   250321C00499000
2025-03-20T00:00:00.000000000Z,35,26,1023410961,0.060000000,0.060000000,0.040000000,0.040000000,11,QQQ   250331C00525000
2025-03-20T00:00:00.000000000Z,35,27,1023410961,0.050000000,0.050000000,0.050000000,0.050000000,2,QQQ   250331C00525000
2025-03-20T00:00:00.000000000Z,35,33,1023410961,0.050000000,0.050000000,0.050000000,0.050000000,12,QQQ   250331C00525000
2025-03-20T00:00:00.000000000Z,35,24,1023410946,20.620000000,20.620000000,20.620000000,20.620000000,1,QQQ   250331C00461000
2025-03-20T00:00:00.000000000Z,35,34,1023410946,20.620000000,20.620000000,19.880000000,19.880000000,2,QQQ   250331C00461000
2025-03-20T00:00:00.000000000Z,35,27,1023410992,0.020000000,0.020000000,0.020000000,0.020000000,4,QQQ   250325C00515000
2025-03-20T00:00:00.000000000Z,35,20,1023411072,2.500000000,6.260000000,2.080000000,2.780000000,2052,QQQ   250321C00480000
2025-03-20T00:00:00.000000000Z,35,23,1023411072,2.590000000,6.190000000,2.050000000,2.790000000,2806,QQQ   250321C00480000
2025-03-20T00:00:00.000000000Z,35,32,1023411072,2.690000000,6.270000000,2.030000000,2.730000000,3892,QQQ   250321C00480000
2025-03-20T00:00:00.000000000Z,35,35,1023411072,2.580000000,6.260000000,2.000000000,2.740000000,7987,QQQ   250321C00480000
2025-03-20T00:00:00.000000000Z,35,20,1023410849,44.340000000,44.340000000,44.340000000,44.340000000,10,QQQ   250731C00460000
2025-03-20T00:00:00.000000000Z,35,22,1023410255,25.040000000,25.040000000,25.040000000,25.040000000,1,QQQ   250325C00455000
2025-03-20T00:00:00.000000000Z,35,29,1023410839,33.320000000,33.320000000,33.300000000,33.300000000,2,QQQ   250327C00450000
2025-03-20T00:00:00.000000000Z,35,21,1023411188,8.110000000,8.110000000,7.920000000,7.920000000,2,QQQ   250327C00477000
2025-03-20T00:00:00.000000000Z,35,25,1023411188,6.520000000,6.870000000,6.520000000,6.870000000,14,QQQ   250327C00477000
2025-03-20T00:00:00.000000000Z,35,26,1023411188,7.100000000,7.100000000,7.100000000,7.100000000,1,QQQ   250327C00477000
2025-03-20T00:00:00.000000000Z,35,29,1023411188,7.080000000,7.080000000,7.080000000,7.080000000,2,QQQ   250327C00477000
2025-03-20T00:00:00.000000000Z,35,34,1023411188,8.600000000,8.600000000,8.600000000,8.600000000,1,QQQ   250327C00477000
2025-03-20T00:00:00.000000000Z,35,21,1023410806,0.010000000,0.010000000,0.010000000,0.010000000,266,QQQ   250321C00516000
2025-03-20T00:00:00.000000000Z,35,23,1023410806,0.010000000,0.010000000,0.010000000,0.010000000,1,QQQ   250321C00516000
2025-03-20T00:00:00.000000000Z,35,24,1023410806,0.010000000,0.010000000,0.010000000,0.010000000,131,QQQ   250321C00516000
2025-03-20T00:00:00.000000000Z,35,29,1023410806,0.010000000,0.010000000,0.010000000,0.010000000,55,QQQ   250321C00516000
2025-03-20T00:00:00.000000000Z,35,31,1023410806,0.010000000,0.010000000,0.010000000,0.010000000,521,QQQ   250321C00516000
2025-03-20T00:00:00.000000000Z,35,35,1023410806,0.010000000,0.010000000,0.010000000,0.010000000,100,QQQ   250321C00516000
2025-03-20T00:00:00.000000000Z,35,37,1023410806,0.010000000,0.010000000,0.010000000,0.010000000,128,QQQ   250321C00516000
2025-03-20T00:00:00.000000000Z,35,27,1023410376,116.180000000,116.180000000,116.180000000,116.180000000,1,QQQ   270115C00415000
2025-03-20T00:00:00.000000000Z,35,24,1023411152,0.010000000,0.010000000,0.010000000,0.010000000,2,QQQ   250321C00506000
2025-03-20T00:00:00.000000000Z,35,28,1023410747,0.080000000,0.080000000,0.070000000,0.070000000,25,QQQ   250331C00520000
2025-03-20T00:00:00.000000000Z,35,28,1023410262,0.010000000,0.010000000,0.010000000,0.010000000,5,QQQ   250321C00548000
